17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:37 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:37 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:38 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:38 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:39 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:39 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:40 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:40 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:41 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:41 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
17:09:42 setBaseVelocity :DEBUG- dimensions : 2
motion_server: 17:09:42 - dimensions : 2
