timestep,Left Shoulder,Left UpperArm,Left ForeArm,Left Wrist1,Left Wrist2,Left Wrist3,Right Shoulder,Right UpperArm,Right ForeArm,Right Wrist1,Right Wrist2,Right Wrist3,Left EE Transform,Right EE Transform
0:00:01.537393,0.07160000000000025,-2.1063,-1.0886399999999998,3.46954,-0.4774266666666664,0.4541200000000002,0.507440000000001,-0.22889265358979238,0.9648799999999997,-0.745147346410207,0.9622,-0.0974,"[[0.9609136764128619, 0.2628923098005215, 0.0866863996197962, -0.11298419506196643, 0.08660780079116051, 0.9898108871004531, 0.2527059519459669, -0.9609251439575639, 0.1129171638785309], [0.6828106204612615, 0.213298413340194, 0.3400548953231092]]","[[0.9457931887402534, -0.23488057734863763, 0.2242525364845562, 0.3222253704124877, 0.5930139984151058, -0.7379044758876874, 0.04033453600920779, 0.7701661652319579, 0.6365518002057335], [0.8792959857578283, -0.0780330628858818, 0.9498971027893384]]"
0:00:01.604938,0.08360000000000026,-2.1063,-1.0658399999999997,3.4587399999999997,-0.45622666666666634,0.4697200000000002,0.5210400000000011,-0.19289265358979235,0.9360799999999997,-0.752747346410207,0.9622,-0.0974,"[[0.9583878442347112, 0.2696744590126239, 0.0935441679994832, -0.11309186811486718, 0.057860979988963876, 0.9918940086532929, 0.26207592294873705, -0.961206639152563, 0.08594285444983962], [0.6787914104422762, 0.21533434087315387, 0.3289930108525052]]","[[0.9412876131172305, -0.2441871321969937, 0.23309499875914202, 0.33495443287842785, 0.5896855406776226, -0.7348973648451999, 0.04199972960814276, 0.7698272647712264, 0.6368539822416572], [0.880959428846561, -0.07354014193304015, 0.9694647125080037]]"
0:00:01.678693,0.09800000000000028,-2.1063,-1.0384799999999998,3.4457799999999996,-0.4307866666666662,0.48844000000000026,0.5373600000000011,-0.14969265358979233,0.9015199999999997,-0.761867346410207,0.9622,-0.0974,"[[0.9553334647883188, 0.27726925046551837, 0.10218578486640428, -0.11295838088960762, 0.02312856839290118, 0.9933258285692024, 0.2730552970413578, -0.9605088453889344, 0.053406681871695616], [0.6736574376740899, 0.2179234937677643, 0.3159232053363847]]","[[0.9356509920933217, -0.2552965418514535, 0.24364749967427057, 0.3501468246535193, 0.5855307505578243, -0.7311281600861348, 0.04399138756439315, 0.7693944540155461, 0.6372424337970121], [0.8820589362883439, -0.06822803316694023, 0.9931941704702573]]"
0:00:01.744738,0.11080000000000026,-2.1063,-1.0141599999999997,3.4342599999999996,-0.40817333333333294,0.5050800000000003,0.5518666666666678,-0.11129265358979223,0.8707999999999997,-0.7699740130768737,0.9622,-0.0974,"[[0.9527737501622984, 0.2831344135926938, 0.10972413107899305, -0.11264767907790967, -0.005975077109057339, 0.9936120838614335, 0.2819813848466429, -0.9590566262182134, 0.02619259176750588], [0.6691274996933392, 0.22020308212031098, 0.30521054478912185]]","[[0.9304312304653709, -0.2651158345908553, 0.25297176467234994, 0.3635725687739839, 0.5816912962045436, -0.7276314201167162, 0.04575513752336251, 0.7689858517353048, 0.6376113336018171], [0.882202825529001, -0.06357563825227679, 1.0144746426799496]]"
0:00:01.813718,0.12440000000000032,-2.1063,-0.9883199999999996,3.42202,-0.3841466666666662,0.5227600000000003,0.5672800000000012,-0.0704926535897924,0.8381599999999997,-0.778587346410207,0.9622,-0.0974,"[[0.949862144010856, 0.28926000735705054, 0.11862955384112125, -0.11209886106148434, -0.03909204168646775, 0.9929225561628751, 0.29185025736465875, -0.9564470034563244, -0.004715550703602522], [0.6637258293364987, 0.22292075759368302, 0.2932754584515178]]","[[0.9250154993019586, -0.2748805644414233, 0.26224146899235584, 0.3769214066097273, 0.5777149502423496, -0.723997761970796, 0.0475120962544601, 0.7685548266446863, 0.6380024001538002], [0.8815522227769563, -0.05898516610315303, 1.0358929022375798]]"
0:00:01.881788,0.13640000000000033,-2.1063,-0.9655199999999996,3.4112199999999997,-0.3629466666666662,0.5383600000000003,0.5817866666666679,-0.0320926535897923,0.8074399999999996,-0.7866940130768737,0.9622,-0.0974,"[[0.9471158068731685, 0.2945083638032916, 0.12735383280946735, -0.111412542958678, -0.07034921595960629, 0.9912755350633012, 0.30089817819732206, -0.9530510067482099, -0.03382639285681549], [0.658390446567857, 0.22560868523678754, 0.2822507502332534]]","[[0.9194049383637406, -0.28458872382971256, 0.27145460515096, 0.39019054611355936, 0.5736025194706604, -0.7202279923854081, 0.04926171978289527, 0.7681014372632604, 0.6384155749406657], [0.8800991963842677, -0.05445296482151091, 1.0574112336915666]]"
0:00:01.948807,0.1492000000000003,-2.1063,-0.9411999999999996,3.3996999999999997,-0.34033333333333293,0.5550000000000003,0.5962933333333347,0.006307346410207693,0.7767199999999996,-0.7948006797435404,0.9622,-0.0974,"[[0.9443673013821772, 0.29924531876154137, 0.13640117061469942, -0.110582530923755, -0.1016512225974641, 0.9886490266400348, 0.30971393887689447, -0.9487411017468064, -0.06291448782793319], [0.6528197400636733, 0.2284225290909701, 0.2714361068940242]]","[[0.9136007285697657, -0.2942383170786572, 0.28060917756121284, 0.403377212174824, 0.5693548391597527, -0.7163229465684491, 0.05100346512601051, 0.7676257485833129, 0.6388507929774484], [0.8778375230748356, -0.049975105790747223, 1.0789915510594865]]"
0:00:02.011131,0.16200000000000028,-2.1063,-0.9168799999999997,3.3881799999999997,-0.31771999999999956,0.5716400000000003,0.6098933333333347,0.042307346410207725,0.7479199999999996,-0.8024006797435403,0.9622,-0.0974,"[[0.9416195994788444, 0.3034613412046004, 0.14576179042273937, -0.10962928521808138, -0.13295771226406103, 0.9850337299979774, 0.31829981102707716, -0.9435167572141006, -0.0919372678462283], [0.6470222264845797, 0.2313618621602577, 0.2608391292469744]]","[[0.9076040917492938, -0.30382736082978967, 0.2897032029547625, 0.41647864720001365, 0.5649727728728813, -0.7122834880207993, 0.052736790444489264, 0.7671278320616013, 0.6393079828147584], [0.8747627101242974, -0.045547418224235026, 1.1005954824824318]]"
0:00:02.076612,0.1740000000000003,-2.1063,-0.8940799999999997,3.3773799999999996,-0.29651999999999956,0.5872400000000003,0.6234933333333347,0.07830734641020776,0.7191199999999995,-0.8100006797435404,0.9622,-0.0974,"[[0.9390464639310876, 0.30693265866897673, 0.1548126167091707, -0.10864176152517942, -0.16227544881126327, 0.9807399709173871, 0.3261434135947351, -0.9377896521904561, -0.11904861676064199], [0.6413887846306927, 0.23423092480107957, 0.25110864528374915]]","[[0.9018086040446694, -0.31276034548422693, 0.2981721102324549, 0.4286813989969281, 0.5607433285255469, -0.7083752140747941, 0.05435365512126274, 0.7666409171226629, 0.6397564839562117], [0.8711391118749403, -0.0414381365126885, 1.1208363147567182]]"
0:00:02.143318,0.18520000000000034,-2.1063,-0.8727999999999996,3.3672999999999997,-0.27673333333333283,0.6018000000000003,0.6370933333333347,0.11430734641020779,0.6903199999999996,-0.8176006797435404,0.9622,-0.0974,"[[0.9366486594295346, 0.30974597347176835, 0.16349216626179064, -0.10765306041687392, -0.18958023768895088, 0.9759389848416965, 0.3332880546490325, -0.9317226923263311, -0.14423529192671775], [0.6359643429392755, 0.23700719344603097, 0.24221035297779167]]","[[0.896248840027551, -0.32104679790450497, 0.3060254258721752, 0.43999889757853805, 0.5566906575952509, -0.7046222808752864, 0.055855231437531475, 0.7661689600221552, 0.6401923851576672], [0.8671093268984681, -0.03763581969861102, 1.1396877781548673]]"
0:00:02.205218,0.1972000000000003,-2.1063,-0.8499999999999996,3.3564999999999996,-0.25553333333333295,0.6174000000000003,0.6506933333333348,0.15030734641020782,0.6615199999999996,-0.8252006797435404,0.9622,-0.0974,"[[0.934084548340143, 0.31229680633696094, 0.1730313271205657, -0.10653735042042396, -0.21874079600322469, 0.9699425182993556, 0.34075896102316483, -0.924453124239196, -0.17106162933282215], [0.6299809444669139, 0.24008655601801737, 0.23287830889091632]]","[[0.8901315897346403, -0.32986898173988755, 0.31438353691043225, 0.4520458225240698, 0.5522365421825114, -0.7004892901500537, 0.05745561151896983, 0.7656446083949089, 0.6406778879474151], [0.8620981111609644, -0.033593643251024145, 1.1598127852906102]]"
0:00:02.268478,0.21000000000000038,-2.1063,-0.8256799999999996,3.3449799999999996,-0.23291999999999946,0.6340400000000004,0.6642933333333347,0.18630734641020763,0.6327199999999997,-0.8328006797435403,0.9622,-0.0974,"[[0.931526023847274, 0.3143620081874553, 0.18280860249607148, -0.10537895145798028, -0.24777040300166076, 0.9630632537121592, 0.3480450595611211, -0.9163933463337373, -0.19768812357545118], [0.6238274295359858, 0.24327344529733408, 0.2237602561766263]]","[[0.8834249242967338, -0.33921352291535367, 0.32323306983506095, 0.46480339692599504, 0.5473586971784561, -0.695953951999552, 0.05915255985471918, 0.7650640839135361, 0.641216725656161], [0.8559639855250141, -0.029313844265568052, 1.1811611104324726]]"
0:00:02.332628,0.2220000000000004,-2.1063,-0.8028799999999996,3.3341799999999995,-0.21171999999999946,0.6496400000000004,0.6778933333333348,0.22230734641020766,0.6039199999999996,-0.8404006797435404,0.9622,-0.0974,"[[0.9289730410772664, 0.31593563162407207, 0.19281355699424033, -0.10419349410333262, -0.2766352068212445, 0.95530200208016, 0.35515295963597737, -0.907550576561585, -0.22407906430737068], [0.6175113407885007, 0.24656683419440273, 0.21486126481330114]]","[[0.8774039049511724, -0.34733281255664133, 0.3309192296401999, 0.47588591484041387, 0.5429839866536925, -0.6918789127835545, 0.06062840615533868, 0.7645382381275352, 0.6417058855112545], [0.8499316346009782, -0.025592280376549544, 1.1997110266738042]]"
0:00:02.398662,0.23480000000000037,-2.1063,-0.7785599999999996,3.3226599999999995,-0.1891066666666662,0.6662800000000003,0.6924000000000016,0.2607073464102079,0.5731999999999995,-0.8485073464102071,0.9622,-0.0974,"[[0.926085624703655, 0.31711787001733116, 0.2044140422527216, -0.10283643209598743, -0.3091067986865122, 0.9454429429942964, 0.36300262251257653, -0.896593360181441, -0.25365912337660146], [0.6101661937926159, 0.2504266174329629, 0.2050466436869935]]","[[0.8699025426023484, -0.3571182776846212, 0.3401787544770511, 0.48923975817476417, 0.5375391146308032, -0.6867978994462708, 0.06240869646986445, 0.7638773762754737, 0.6423219366630974], [0.8417778488789867, -0.02109752318637976, 1.2220343128492446]]"
0:00:02.465131,0.24760000000000035,-2.1063,-0.7542399999999996,3.3111399999999995,-0.16649333333333283,0.6829200000000003,0.7069066666666682,0.29910734641020786,0.5424799999999996,-0.8566140130768738,0.9622,-0.0974,"[[0.9233724264994034, 0.3176407704924565, 0.2155719125715411, -0.10156439770268072, -0.3393915249190654, 0.9351375778737169, 0.37020110088963176, -0.8853858727888478, -0.2811349692918442], [0.6030813193650287, 0.25418125586028184, 0.19607799139950127]]","[[0.862653454456033, -0.3662524063395926, 0.34881788368325495, 0.5017017336130718, 0.5322826118181156, -0.6818838238475847, 0.06407189715243007, 0.7632331269058905, 0.642923747265359], [0.8332807132120833, -0.01688658538491157, 1.2428040283013924]]"
0:00:02.527608,0.25880000000000036,-2.1063,-0.7329599999999996,3.3010599999999997,-0.1467066666666661,0.6974800000000004,0.7205066666666683,0.3351073464102079,0.5136799999999995,-0.8642140130768737,0.9622,-0.0974,"[[0.9210002175959893, 0.317624746534647, 0.22551445325913616, -0.10046923410575559, -0.36563800420095427, 0.9253100057733148, 0.3763580106578618, -0.8748792946874124, -0.3048524800407911], [0.5967529472257763, 0.2575621288987602, 0.18844830179078131]]","[[0.856161400576074, -0.37418302987947666, 0.35631538530594276, 0.5125192749608876, 0.5275790996348136, -0.6774799131382172, 0.06551693641480175, 0.7626517972041595, 0.6434677330593286], [0.8251982770871897, -0.01321358778448338, 1.2607559812007603]]"
0:00:02.590483,0.2716000000000004,-2.1063,-0.7086399999999996,3.2895399999999997,-0.12409333333333283,0.7141200000000004,0.7341066666666684,0.37110734641020793,0.48487999999999953,-0.8718140130768738,0.9622,-0.0974,"[[0.9184583184502019, 0.31711322840019257, 0.2363414377039318, -0.09932735374125748, -0.393465642722922, 0.9139487309208123, 0.38281746834279473, -0.862910423143819, -0.329895213775943], [0.5898463596062765, 0.26128194988660436, 0.18050320368400566]]","[[0.8490524463143181, -0.3826147008272933, 0.36428299982188744, 0.5240176570391082, 0.5224327085230582, -0.6726545004199154, 0.06705414617244507, 0.7620108042384324, 0.6440684972156308], [0.815876436679243, -0.009286431111009436, 1.279731067952059]]"
